name,group,entity,window,range,missing,purpose,spec_ref,config,observed_min,observed_max,missing_rate,n_unique
amt_card_mean_30s,amount,card_fingerprint,30,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR card amounts (baseline for deviation),AMOUNT.window_mean,windows_s,9.0,2798.929999999702,0.9848774825087064,480
amt_card_median_30s,amount,card_fingerprint,30,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR card amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,9.0,2798.93,0.9848774825087064,479
amt_card_std_30s,amount,card_fingerprint,30,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR card amounts,AMOUNT.window_std,windows_s;min_history,64.91897950400413,276.8951087195025,0.9998745019295329,4
amt_card_dev_30s,amount,card_fingerprint,30,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior card window mean (absolute deviation form),AMOUNT.historical_deviation_card,windows_s,-2687.339999999702,2320.8250000002236,0.9848774825087064,482
amt_card_z_30s,amount,card_fingerprint,30,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior card mean) / prior card std (scale-free deviation form),AMOUNT.historical_deviation_card,windows_s;min_history,-1.29515282960993,1.5111414595013672,0.9998745019295329,4
amt_card_cv_30s,amount,card_fingerprint,30,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR card amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.34809104291691223,1.304898484359952,0.9998745019295329,4
amt_device_mean_30s,amount,device_fingerprint,30,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR device amounts (baseline for deviation),AMOUNT.window_mean,windows_s,7.349999999627471,10078.959999999963,0.9691902237003106,976
amt_device_median_30s,amount,device_fingerprint,30,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR device amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,7.35,10078.96,0.9691902237003106,907
amt_device_std_30s,amount,device_fingerprint,30,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR device amounts,AMOUNT.window_std,windows_s;min_history,2.72380215441652,1672.2784340027315,0.9915916292786998,268
amt_device_dev_30s,amount,device_fingerprint,30,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior device window mean (absolute deviation form),AMOUNT.historical_deviation_device,windows_s,-6901.959999999963,2896.4499999999257,0.9691902237003106,981
amt_device_z_30s,amount,device_fingerprint,30,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior device mean) / prior device std (scale-free deviation form),AMOUNT.historical_deviation_device,windows_s;min_history,-32.40915550746173,206.80300069085763,0.9915916292786998,268
amt_device_cv_30s,amount,device_fingerprint,30,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR device amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.01826505877489285,1.7813978937372237,0.9915916292786998,268
amt_card_low_value_ratio_30s,amount,card_fingerprint,30,"[0, 1]",NaN with fewer than 3 prior card transactions in the window,"fraction of PRIOR card transactions in the window below cfg.low_value_amount=5.0 (card-testing probe behaviour). The threshold is a documented project ASSUMPTION, not a data-derived value.",AMOUNT.low_value_ratio,windows_s;min_history;low_value_amount,0.0,0.0,0.9998745019295329,1
amt_card_mean_120s,amount,card_fingerprint,120,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR card amounts (baseline for deviation),AMOUNT.window_mean,windows_s,7.100000000093132,2798.929999999702,0.9802026793838045,627
amt_card_median_120s,amount,card_fingerprint,120,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR card amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,7.1,2798.93,0.9802026793838045,625
amt_card_std_120s,amount,card_fingerprint,120,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR card amounts,AMOUNT.window_std,windows_s;min_history,64.91897950400413,276.8951087195025,0.9998745019295329,4
amt_card_dev_120s,amount,card_fingerprint,120,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior card window mean (absolute deviation form),AMOUNT.historical_deviation_card,windows_s,-2687.339999999702,4189.419999999981,0.9802026793838045,631
amt_card_z_120s,amount,card_fingerprint,120,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior card mean) / prior card std (scale-free deviation form),AMOUNT.historical_deviation_card,windows_s;min_history,-1.29515282960993,1.5111414595013672,0.9998745019295329,4
amt_card_cv_120s,amount,card_fingerprint,120,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR card amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.34809104291691223,1.304898484359952,0.9998745019295329,4
amt_device_mean_120s,amount,device_fingerprint,120,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR device amounts (baseline for deviation),AMOUNT.window_mean,windows_s,7.410000000149012,12504.240000000224,0.9620054591660653,1206
amt_device_median_120s,amount,device_fingerprint,120,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR device amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,7.41,12504.24,0.9620054591660653,1113
amt_device_std_120s,amount,device_fingerprint,120,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR device amounts,AMOUNT.window_std,windows_s;min_history,2.8276669006083544,1672.2784340027315,0.9892071659398237,344
amt_device_dev_120s,amount,device_fingerprint,120,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior device window mean (absolute deviation form),AMOUNT.historical_deviation_device,windows_s,-12114.220000000223,2896.4499999999257,0.9620054591660653,1211
amt_device_z_120s,amount,device_fingerprint,120,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior device mean) / prior device std (scale-free deviation form),AMOUNT.historical_deviation_device,windows_s;min_history,-32.40915550746173,206.80300069085763,0.9892071659398237,344
amt_device_cv_120s,amount,device_fingerprint,120,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR device amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.01826505877489285,2.011684661122613,0.9892071659398237,344
amt_card_low_value_ratio_120s,amount,card_fingerprint,120,"[0, 1]",NaN with fewer than 3 prior card transactions in the window,"fraction of PRIOR card transactions in the window below cfg.low_value_amount=5.0 (card-testing probe behaviour). The threshold is a documented project ASSUMPTION, not a data-derived value.",AMOUNT.low_value_ratio,windows_s;min_history;low_value_amount,0.0,0.0,0.9998745019295329,1
amt_card_mean_300s,amount,card_fingerprint,300,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR card amounts (baseline for deviation),AMOUNT.window_mean,windows_s,7.100000000093132,8686.689999999944,0.9772221002102093,722
amt_card_median_300s,amount,card_fingerprint,300,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR card amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,7.1,8686.69,0.9772221002102093,719
amt_card_std_300s,amount,card_fingerprint,300,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR card amounts,AMOUNT.window_std,windows_s;min_history,64.91897950400413,276.8951087195025,0.9998745019295329,4
amt_card_dev_300s,amount,card_fingerprint,300,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior card window mean (absolute deviation form),AMOUNT.historical_deviation_card,windows_s,-8209.829999999944,4189.419999999981,0.9772221002102093,726
amt_card_z_300s,amount,card_fingerprint,300,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior card mean) / prior card std (scale-free deviation form),AMOUNT.historical_deviation_card,windows_s;min_history,-1.29515282960993,1.5111414595013672,0.9998745019295329,4
amt_card_cv_300s,amount,card_fingerprint,300,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR card amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.34809104291691223,1.304898484359952,0.9998745019295329,4
amt_device_mean_300s,amount,device_fingerprint,300,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR device amounts (baseline for deviation),AMOUNT.window_mean,windows_s,4.050000000046566,12504.240000000224,0.9548834436670536,1432
amt_device_median_300s,amount,device_fingerprint,300,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR device amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,4.05,12504.24,0.9548834436670536,1331
amt_device_std_300s,amount,device_fingerprint,300,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR device amounts,AMOUNT.window_std,windows_s;min_history,2.8276669006083544,1672.2784340027315,0.9886424246227214,362
amt_device_dev_300s,amount,device_fingerprint,300,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior device window mean (absolute deviation form),AMOUNT.historical_deviation_device,windows_s,-12114.220000000223,4196.770000000093,0.9548834436670536,1438
amt_device_z_300s,amount,device_fingerprint,300,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior device mean) / prior device std (scale-free deviation form),AMOUNT.historical_deviation_device,windows_s;min_history,-32.40915550746173,206.80300069085763,0.9886424246227214,362
amt_device_cv_300s,amount,device_fingerprint,300,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR device amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.01826505877489285,2.011684661122613,0.9886424246227214,362
amt_card_low_value_ratio_300s,amount,card_fingerprint,300,"[0, 1]",NaN with fewer than 3 prior card transactions in the window,"fraction of PRIOR card transactions in the window below cfg.low_value_amount=5.0 (card-testing probe behaviour). The threshold is a documented project ASSUMPTION, not a data-derived value.",AMOUNT.low_value_ratio,windows_s;min_history;low_value_amount,0.0,0.0,0.9998745019295329,1
amt_card_mean_1200s,amount,card_fingerprint,1200,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR card amounts (baseline for deviation),AMOUNT.window_mean,windows_s,7.100000000093132,23332.05999999959,0.964923289304427,1112
amt_card_median_1200s,amount,card_fingerprint,1200,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR card amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,7.1,23332.06,0.964923289304427,1106
amt_card_std_1200s,amount,card_fingerprint,1200,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR card amounts,AMOUNT.window_std,windows_s;min_history,64.91897950400413,276.8951087195025,0.9998745019295329,4
amt_card_dev_1200s,amount,card_fingerprint,1200,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior card window mean (absolute deviation form),AMOUNT.historical_deviation_card,windows_s,-23086.05999999959,7565.760000000373,0.964923289304427,1118
amt_card_z_1200s,amount,card_fingerprint,1200,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior card mean) / prior card std (scale-free deviation form),AMOUNT.historical_deviation_card,windows_s;min_history,-1.29515282960993,1.5111414595013672,0.9998745019295329,4
